2167.88288 14.052 0.006
2186.85692 14.058 0.006
2190.84230 14.129 0.006
2193.80647 14.044 0.006
2202.80586 14.049 0.006
2215.75906 14.048 0.006
2224.80721 14.049 0.006
2227.71805 14.127 0.006
2231.69206 14.043 0.006
2233.66035 14.032 0.006
2237.57974 14.142 0.006
2239.64076 14.087 0.006
2243.79745 14.035 0.006
2248.65651 14.108 0.006
2250.74450 14.040 0.006
2252.71776 14.029 0.006
2257.71284 14.134 0.006
2260.72099 14.033 0.006
2265.76275 14.144 0.006
2266.73816 14.150 0.006
2270.78377 14.041 0.006
2272.63331 14.049 0.006
2274.76066 14.132 0.006
2276.81859 14.122 0.006
2278.77543 14.061 0.006
2280.75817 14.032 0.006
2282.75542 14.066 0.006
2289.81785 14.033 0.006
2291.80389 14.052 0.006
2293.77279 14.135 0.006
2295.79665 14.122 0.006
2297.78269 14.054 0.006
2300.80772 14.037 0.006
2302.76898 14.107 0.006
2304.80642 14.129 0.006
2315.69270 14.083 0.006
2324.55343 14.125 0.006
2328.53899 14.033 0.006
2334.53218 14.104 0.006
2340.52881 14.101 0.006
2347.52609 14.034 0.006
2373.48119 14.085 0.006
2385.54426 14.030 0.006
2534.87700 14.112 0.006
2557.81227 14.048 0.006
2560.80676 14.151 0.006
2561.81035 14.163 0.006
2565.81365 14.054 0.006
2574.77587 14.052 0.006
2584.72808 14.044 0.006
2606.70685 14.078 0.006
2621.79369 14.062 0.006
2624.69070 14.063 0.006
2627.77568 14.155 0.006
2629.80249 14.134 0.006
2632.69657 14.056 0.006
2650.77740 14.059 0.006
2653.64325 14.066 0.006
2655.69439 14.131 0.006
2657.63474 14.150 0.006
2682.72678 14.081 0.006
2687.61888 14.082 0.006
2692.55213 14.084 0.006
2696.60901 14.114 0.006
2702.50683 14.092 0.006
2708.53072 14.026 0.006
2724.50535 14.118 0.006
2902.76585 14.104 0.006
2917.77801 14.053 0.006
2923.77739 14.147 0.006
2926.83325 14.053 0.006
2931.76174 14.122 0.006
2934.80218 14.113 0.006
2950.70929 14.119 0.006
2954.73259 14.072 0.006
2967.76600 14.042 0.006
2970.81998 14.142 0.006
2974.75801 14.059 0.006
2976.64751 14.037 0.006
2979.63088 14.118 0.006
2981.65226 14.125 0.006
2985.80675 14.037 0.006
2987.70551 14.065 0.006
2989.64820 14.132 0.006
2991.71612 14.105 0.006
2993.72814 14.044 0.006
2995.80171 14.021 0.006
2997.77227 14.091 0.006
2998.71981 14.121 0.006
3000.72236 14.126 0.006
3002.70968 14.061 0.006
3006.70606 14.062 0.006
3010.76232 14.121 0.006
3016.71690 14.091 0.006
3020.81108 14.082 0.006
3021.83499 14.044 0.006
3023.69700 14.030 0.006
3025.66859 14.064 0.006
3027.71402 14.138 0.006
3029.69889 14.100 0.006
3031.76925 14.034 0.006
3034.60058 14.036 0.006
3036.63094 14.115 0.006
3039.57284 14.098 0.006
3042.68039 14.025 0.006
3044.61978 14.047 0.006
3046.60574 14.122 0.006
3047.70807 14.138 0.006
3048.63925 14.110 0.006
3049.66279 14.076 0.006
3051.63205 14.033 0.006
3053.60724 14.032 0.006
3055.62429 14.118 0.006
3057.64946 14.127 0.006
3059.59406 14.052 0.006
3061.58638 14.020 0.006
3066.55590 14.146 0.006
3068.58372 14.070 0.006
3070.65411 14.023 0.006
3073.67234 14.057 0.006
3076.59611 14.132 0.006
3078.68264 14.056 0.006
3082.66436 14.050 0.006
3085.56487 14.129 0.006
3088.52514 14.049 0.006
3091.50747 14.020 0.006
3096.55649 14.106 0.006
3099.62417 14.030 0.006
3100.48407 14.019 0.006
3103.50573 14.116 0.006
3106.52701 14.079 0.006
3109.51257 14.016 0.006
3112.56436 14.095 0.006
3116.54609 14.045 0.006
3127.54319 14.025 0.006
3133.50236 14.122 0.006
3242.85295 14.025 0.006
3248.90692 14.111 0.006
3258.88770 14.094 0.006
3271.79702 14.025 0.006
3274.80573 14.102 0.006
3278.87880 14.060 0.006
3282.76078 14.049 0.006
3305.73031 14.113 0.006
3320.84866 14.047 0.006
3336.62956 14.037 0.006
3339.80806 14.051 0.006
3353.80090 14.097 0.006
3357.74243 14.021 0.006
3365.83857 14.023 0.006
3373.80265 14.077 0.006
3378.72945 14.080 0.006
3387.72713 14.059 0.006
3394.61256 14.042 0.006
3399.76630 14.138 0.006
3403.75333 14.041 0.006
3408.67649 14.138 0.006
3417.61671 14.097 0.006
3427.53934 14.116 0.006
3434.50452 14.024 0.006
3440.51420 14.050 0.006
3447.49779 14.123 0.006
3456.52335 14.121 0.006
3469.47820 14.041 0.006
3478.47067 14.069 0.006
3579.92884 14.158 0.006
3619.88395 14.139 0.006
3630.76537 14.099 0.006
3658.81660 14.090 0.006
3673.81545 14.047 0.006
3685.75498 14.105 0.006
3687.84172 14.049 0.006
3701.68904 14.036 0.006
3703.77280 14.119 0.006
3708.82474 14.017 0.006
3715.74294 14.108 0.006
3724.75120 14.139 0.006
3731.79226 14.129 0.006
3735.64290 14.075 0.006
3742.77081 14.164 0.006
3745.80731 14.081 0.006
3747.81000 14.030 0.006
3755.72064 14.071 0.006
3776.72240 14.034 0.006
3783.58958 14.077 0.006
3793.56930 14.061 0.006
3801.50507 14.102 0.006
3810.53986 14.121 0.006
3826.48066 14.090 0.006
3965.84071 14.076 0.006
4013.78555 14.048 0.006
4019.78674 14.155 0.006
4026.84876 14.118 0.006
4046.83392 14.139 0.006
4052.76536 14.034 0.006
4058.85778 14.116 0.006
4069.72613 14.068 0.006
4084.78094 14.150 0.006
4086.80596 14.147 0.006
4106.56242 14.118 0.006
4143.52994 14.162 0.006
4157.52165 14.038 0.006
4168.56290 14.056 0.006
4381.73028 14.162 0.006
4443.77996 14.038 0.006
4451.78653 14.040 0.006
4468.72809 14.109 0.006
4490.62614 14.040 0.006
4512.70834 14.084 0.006
4518.64854 14.039 0.006
4531.61641 14.106 0.006
4534.54528 14.126 0.006
4537.66102 14.048 0.006
4542.49767 14.148 0.006
